#==============================================================================
# DATASET #0
#==============================================================================
0 -2
0.263158 -15.28
0.526316 -18.7435
0.789474 -25.4359
1.05263 -25.6174
1.31579 -25.6165
1.57895 -25.7527
1.84211 -25.7564
2.10526 -25.7564
2.36842 -25.7527
2.63158 -25.7527
2.89474 -25.7527
3.15789 -25.7527
3.42105 -25.7527
3.68421 -25.7527
3.94737 -25.7527
4.21053 -25.7527
4.47368 -25.7527
4.73684 -25.7527
5 -25.7527


#==============================================================================
# DATASET #1
#==============================================================================
0 -2
0.263158 -15.28
0.526316 -18.7435
0.789474 -25.4359
1.05263 -25.6174
1.31579 -25.6165
1.57895 -25.7527
1.84211 -25.7564
2.10526 -25.7564
2.36842 -25.7527
2.63158 -25.7527
2.89474 -25.7527
3.15789 -25.7527
3.42105 -25.7527
3.68421 -25.7527
3.94737 -25.7527
4.21053 -25.7527
4.47368 -25.7527
4.73684 -25.7527
5 -25.7527


